epoch,accuracy,drop_rate,loss,lr,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.13989141583442688,0,3.084447145462036,0.0001,0.17741934955120087,0.02459278143942356,0.17201539874076843,2.310884475708008,0.0,0.0
1,0.19929735362529755,0,2.23396897315979,0.0001,0.4431818127632141,0.024912169203162193,0.16944800317287445,2.284371852874756,0.3333333432674408,0.00128369708545506
2,0.22868093848228455,0,2.1146082878112793,0.0001,0.5559845566749573,0.045991696417331696,0.19512194395065308,2.2230865955352783,0.3181818127632141,0.008985878899693489
3,0.24720536172389984,0,2.049818992614746,0.0001,0.5174603462219238,0.052060045301914215,0.16816431283950806,2.455115556716919,0.32786884903907776,0.025673940777778625
4,0.28744810819625854,0,1.943725824356079,0.0001,0.5791855454444885,0.08176301419734955,0.15019255876541138,2.8589584827423096,0.23243242502212524,0.11039794236421585
5,0.35994890332221985,0,1.7906047105789185,0.0001,0.6407185792922974,0.13669754564762115,0.17586649954319,2.4420101642608643,0.25242719054222107,0.03337612375617027
6,0.4033854901790619,0,1.6611809730529785,0.0001,0.6590909361839294,0.19450654089450836,0.16688062250614166,3.061002254486084,0.20151133835315704,0.1026957631111145
7,0.4710955023765564,0,1.5045925378799438,0.0001,0.7057335376739502,0.2673267424106598,0.17586649954319,3.2317373752593994,0.19635628163814545,0.12451861053705215
8,0.5305014252662659,0,1.2941371202468872,0.0001,0.7506738305091858,0.3557968735694885,0.21309371292591095,2.7472996711730957,0.2873239517211914,0.1309370994567871
9,0.618971586227417,0,1.0743578672409058,0.0001,0.8005449771881104,0.4691791832447052,0.16688062250614166,3.421393394470215,0.1967545598745346,0.12451861053705215
0,0.6838070750236511,0,0.8828575611114502,0.0001,0.8231598138809204,0.5857553482055664,0.19897304475307465,3.897120952606201,0.22012577950954437,0.13478818535804749
1,0.7690833806991577,0,0.6672295331954956,0.0001,0.8635445833206177,0.6831682920455933,0.18485237658023834,3.882929801940918,0.19502867758274078,0.1309370994567871
2,0.8236985206604004,0,0.5289101600646973,0.0001,0.8869113922119141,0.7639731764793396,0.19512194395065308,4.2289557456970215,0.21790540218353271,0.16559691727161407
3,0.8760779500007629,0,0.37497812509536743,0.0001,0.9251603484153748,0.829128086566925,0.14120668172836304,4.901162624359131,0.15358930826187134,0.1181001290678978
4,0.8792718052864075,0,0.34611976146698,0.0001,0.9136567115783691,0.848291277885437,0.21181000769138336,4.829208850860596,0.23211446404457092,0.18741977214813232
5,0.9022676348686218,0,0.29694461822509766,0.0001,0.9290322661399841,0.8738422393798828,0.16816431283950806,5.85023307800293,0.18251533806324005,0.15275995433330536
6,0.9029064178466797,0,0.299761027097702,0.0001,0.9247564673423767,0.8792718052864075,0.21181000769138336,4.3262834548950195,0.21967212855815887,0.17201539874076843
7,0.9453848600387573,0,0.17291855812072754,0.0001,0.9558101296424866,0.9326093792915344,0.18356867134571075,4.961245059967041,0.1894409954547882,0.15661104023456573
8,0.9511338472366333,0,0.15138113498687744,0.0001,0.9606119990348816,0.9425103664398193,0.17458279430866241,5.993628025054932,0.17307692766189575,0.15019255876541138
9,0.9469817876815796,0,0.1760578602552414,0.0001,0.9533527493476868,0.9399552941322327,0.16431322693824768,5.253394603729248,0.17370891571044922,0.14249037206172943
