epoch,accuracy,drop_rate,loss,lr,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.1370169222354889,0,3.6816465854644775,0.0001,0.1312127262353897,0.021079527214169502,0.09756097197532654,3.093935251235962,0.0,0.0
1,0.2008942812681198,0,2.2198948860168457,0.0001,0.4545454680919647,0.02076014131307602,0.09627728164196014,2.582648754119873,0.3333333432674408,0.00256739417091012
2,0.22644522786140442,0,2.135152578353882,0.0001,0.5416666865348816,0.04152028262615204,0.1489088535308838,2.3327667713165283,0.6666666865348816,0.00256739417091012
3,0.2848930060863495,0,1.9689165353775024,0.0001,0.5970873832702637,0.07856914401054382,0.15275995433330536,2.33707332611084,0.3030303120613098,0.012836970388889313
4,0.35324177145957947,0,1.7964403629302979,0.0001,0.6619468927383423,0.1194506511092186,0.15789473056793213,2.516757011413574,0.26923078298568726,0.017971757799386978
5,0.4311721622943878,0,1.6028106212615967,0.0001,0.7252252101898193,0.2056850790977478,0.20025673508644104,2.220383644104004,0.4117647111415863,0.06290115416049957
6,0.5087831616401672,0,1.3806296586990356,0.0001,0.7770800590515137,0.3161928951740265,0.15275995433330536,2.7412326335906982,0.20000000298023224,0.06290115416049957
7,0.5863941311836243,0,1.1921370029449463,0.0001,0.7997550368309021,0.4171191453933716,0.205391526222229,2.677807331085205,0.2530864179134369,0.10526315867900848
8,0.6882784962654114,0,0.9227660298347473,0.0001,0.8524262309074402,0.5442350506782532,0.17586649954319,3.2259907722473145,0.17773018777370453,0.10654685646295547
9,0.7780261635780334,0,0.6946059465408325,0.0001,0.8870967626571655,0.6675183773040771,0.18870346248149872,3.371995210647583,0.23950617015361786,0.12451861053705215
0,0.797828197479248,0,0.6226729154586792,0.0001,0.8805738687515259,0.7253273725509644,0.17843389511108398,4.324705600738525,0.20209059119224548,0.1489088535308838
1,0.8466943502426147,0,0.44780921936035156,0.0001,0.8977028131484985,0.7987863421440125,0.1912708580493927,4.614874362945557,0.21157024800777435,0.16431322693824768
2,0.8942829966545105,0,0.33712416887283325,0.0001,0.9304738640785217,0.8591504096984863,0.16816431283950806,5.023209095001221,0.17202572524547577,0.13735558092594147
3,0.9386777281761169,0,0.1897275596857071,0.0001,0.959919810295105,0.9179176092147827,0.15789473056793213,6.583976745605469,0.1621621549129486,0.1463414579629898
4,0.9281379580497742,0,0.2339879721403122,0.0001,0.9464404582977295,0.9086554050445557,0.15147624909877777,5.983588218688965,0.1543026715517044,0.1335044950246811
5,0.9150431156158447,0,0.26552680134773254,0.0001,0.9358288645744324,0.8942829966545105,0.18356867134571075,4.901911735534668,0.18691588938236237,0.15404364466667175
6,0.9447460770606995,0,0.1838337779045105,0.0001,0.9578808546066284,0.9297348856925964,0.2041078358888626,4.806609630584717,0.20611916482448578,0.16431322693824768
7,0.9572021961212158,0,0.1488267183303833,0.0001,0.9626259207725525,0.9460236430168152,0.15404364466667175,6.7043681144714355,0.16034986078739166,0.14120668172836304
8,0.9651868343353271,0,0.11248451471328735,0.0001,0.9721682667732239,0.959437906742096,0.20154044032096863,5.632160186767578,0.21870504319667816,0.19512194395065308
9,0.9789204597473145,0,0.0707915723323822,0.0001,0.9826366305351257,0.9760459661483765,0.21181000769138336,5.090874195098877,0.22270742058753967,0.19640564918518066
